pair_id,order,n,missing_asym_b_minus_a,count_a_ge2_rate,count_b_ge2_rate,a_present_rate,a_present_n,b_present_rate,b_present_n,merged_rate,merged_n,malformed_a_rate,malformed_a_n,malformed_b_rate,malformed_b_n,leak_a_to_b_rate,leak_a_to_b_n,leak_b_to_a_rate,leak_b_to_a_n
tiger__pepper,0,10,0.3,0.4,0.14285714285714285,1.0,10,0.7,10,0.1,10,0.0,10,0.3,10,0.0,6,0.0,6
tiger__pepper,1,10,0.3,0.7,0.375,1.0,10,0.7,10,0.0,10,0.0,10,0.2,10,0.0,7,0.0,7
tiger__pumpkin,0,10,0.1,0.4444444444444444,0.2222222222222222,0.9,10,0.8,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
tiger__pumpkin,1,10,0.09999999999999998,0.25,0.2857142857142857,0.8,10,0.7,10,0.3,10,0.0,10,0.1,10,0.0,5,0.0,5
tiger__strawberry,0,10,0.0,0.5,0.8,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,7,0.0,7
tiger__strawberry,1,10,0.0,0.7,0.7,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
tiger__zebra,0,10,0.1,0.3,0.1111111111111111,1.0,10,0.9,10,0.7,10,0.0,10,0.0,10,0.0,3,0.0,3
tiger__zebra,1,10,0.0,0.14285714285714285,0.0,0.7,10,0.7,10,0.7,10,0.0,10,0.0,10,0.0,3,0.0,3
tomato__lemon,0,10,0.0,0.3333333333333333,0.3333333333333333,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,5,0.0,5
tomato__lemon,1,10,-0.1,0.0,0.1111111111111111,0.8,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,3,0.0,3
tomato__peach,0,10,-0.1,0.5555555555555556,0.5,0.9,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,6,0.0,6
tomato__peach,1,10,0.0,0.4,0.4,1.0,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,7,0.0,7
tomato__pear,0,10,0.0,0.0,0.42857142857142855,0.7777777777777778,9,0.7777777777777778,9,0.1111111111111111,9,0.0,9,0.0,9,0.0,6,0.0,6
tomato__pear,1,10,0.0,0.375,0.125,0.8,10,0.8,10,0.0,10,0.0,10,0.0,10,0.0,7,0.0,7
tomato__pepper,0,10,0.0,0.4,0.1,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,6,0.0,6
tomato__pepper,1,10,0.1,0.4,0.2222222222222222,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
tomato__pumpkin,0,10,0.0,0.2222222222222222,0.2222222222222222,1.0,9,1.0,9,0.0,9,0.0,9,0.0,9,0.0,7,0.0,7
tomato__pumpkin,1,10,-0.1,0.3333333333333333,0.4,0.9,10,1.0,10,0.0,10,0.0,10,0.0,10,0.0,6,0.0,6
turtle__apple,0,10,0.0,0.5,0.2,1.0,10,1.0,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
turtle__apple,1,10,0.1111111111111111,0.5555555555555556,0.1111111111111111,1.0,9,0.8888888888888888,9,0.2222222222222222,9,0.0,9,0.1111111111111111,9,0.0,6,0.0,6
turtle__orange,0,10,0.2222222222222222,0.8888888888888888,0.3333333333333333,1.0,9,0.7777777777777778,9,0.0,9,0.0,9,0.0,9,0.0,7,0.0,7
turtle__orange,1,10,0.30000000000000004,0.8,0.125,0.9,10,0.6,10,0.1,10,0.0,10,0.1,10,0.0,5,0.0,5
turtle__peach,0,10,0.19999999999999998,0.5555555555555556,0.125,0.9,10,0.7,10,0.3,10,0.0,10,0.2,10,0.0,4,0.0,4
turtle__peach,1,10,0.1,0.3,0.1111111111111111,1.0,10,0.9,10,0.0,10,0.0,10,0.1,10,0.0,7,0.0,7
turtle__pear,0,10,0.0,0.4,0.2,1.0,10,1.0,10,0.2,10,0.0,10,0.0,10,0.0,8,0.0,8
turtle__pear,1,10,0.2,0.4,0.1,1.0,10,0.8,10,0.0,10,0.0,10,0.1,10,0.0,6,0.0,6
turtle__pumpkin,0,10,0.2,0.3,0.2222222222222222,1.0,10,0.8,10,0.0,10,0.0,10,0.2,10,0.0,8,0.0,8
turtle__pumpkin,1,10,0.1,0.5,0.0,1.0,10,0.9,10,0.0,10,0.0,10,0.1,10,0.0,7,0.0,7
watermelon__lemon,0,10,0.1,0.1,0.1111111111111111,1.0,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,8,0.0,8
watermelon__lemon,1,10,0.0,0.0,0.0,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.16666666666666666,6,0.0,6
watermelon__pepper,0,10,0.1111111111111111,0.4444444444444444,0.3333333333333333,1.0,9,0.8888888888888888,9,0.0,9,0.0,9,0.0,9,0.0,8,0.0,8
watermelon__pepper,1,10,0.0,0.1111111111111111,0.0,0.9,10,0.9,10,0.1,10,0.0,10,0.0,10,0.0,9,0.0,9
zebra__lemon,0,10,0.2,0.5,0.0,0.8,10,0.6,10,0.5,10,0.0,10,0.1,10,0.0,2,0.0,2
zebra__lemon,1,10,0.1428571428571429,1.0,0.0,0.42857142857142855,7,0.2857142857142857,7,0.7142857142857143,7,0.0,7,0.0,7,0.0,1,0.0,1
zebra__orange,0,10,0.49999999999999994,0.625,0.0,0.8,10,0.3,10,0.5,10,0.0,10,0.0,10,0.0,1,0.0,1
zebra__orange,1,10,0.6666666666666666,0.8333333333333334,0.0,1.0,6,0.3333333333333333,6,0.5,6,0.0,6,0.0,6,0.0,1,0.0,1
zebra__peach,0,10,0.1,0.1,0.1111111111111111,1.0,10,0.9,10,0.0,10,0.0,10,0.0,10,0.0,9,0.0,9
zebra__peach,1,10,0.1111111111111111,0.42857142857142855,0.3333333333333333,0.7777777777777778,9,0.6666666666666666,9,0.3333333333333333,9,0.0,9,0.0,9,0.0,3,0.0,3
zebra__pear,0,10,0.1,0.1111111111111111,0.25,0.9,10,0.8,10,0.3,10,0.0,10,0.2,10,0.0,4,0.0,4
zebra__pear,1,10,0.125,0.6,0.0,0.625,8,0.5,8,0.75,8,0.0,8,0.0,8,0.0,2,0.0,2
zebra__pumpkin,0,10,0.19999999999999998,0.2222222222222222,0.2857142857142857,0.9,10,0.7,10,0.4,10,0.0,10,0.2,10,0.25,4,0.25,4
zebra__pumpkin,1,10,0.0,0.2857142857142857,0.14285714285714285,0.7777777777777778,9,0.7777777777777778,9,0.5555555555555556,9,0.0,9,0.0,9,0.0,3,0.0,3
zebra__watermelon,0,10,0.25,0.25,0.0,1.0,8,0.75,8,0.125,8,0.0,8,0.25,8,0.0,4,0.0,4
zebra__watermelon,1,10,0.10000000000000003,0.42857142857142855,0.16666666666666666,0.7,10,0.6,10,0.6,10,0.0,10,0.1,10,0.0,2,0.0,2
